Period,Consumption
1/1/2018 0:00,829.7639
1/1/2018 1:00,815.4053
1/1/2018 2:00,786.5032
1/1/2018 3:00,780.0486
1/1/2018 4:00,778.6814
1/1/2018 5:00,777.0674
1/1/2018 6:00,781.2065
1/1/2018 7:00,797.6081
1/1/2018 8:00,796.2361
1/1/2018 9:00,820.2339
1/1/2018 10:00,863.4686
1/1/2018 11:00,887.8411
1/1/2018 12:00,902.1082
1/1/2018 13:00,904.0421
1/1/2018 14:00,920.7411
1/1/2018 15:00,984.2566
1/1/2018 16:00,1009.3896
1/1/2018 17:00,1010.5203
1/1/2018 18:00,991.8796
1/1/2018 19:00,968.1857
1/1/2018 20:00,934.8145
1/1/2018 21:00,891.3914
1/1/2018 22:00,853.7324
1/1/2018 23:00,791.7961
1/2/2018 0:00,746.327
1/2/2018 1:00,733.4584
1/2/2018 2:00,716.9297
1/2/2018 3:00,719.4931
1/2/2018 4:00,733.7563
1/2/2018 5:00,801.1725
1/2/2018 6:00,920.9444
1/2/2018 7:00,1035.0292
1/2/2018 8:00,1122.0975
1/2/2018 9:00,1149.087
1/2/2018 10:00,1164.2748
1/2/2018 11:00,1157.0818
1/2/2018 12:00,1167.9901
1/2/2018 13:00,1168.4301
1/2/2018 14:00,1165.5433
1/2/2018 15:00,1210.9971
1/2/2018 16:00,1211.4532
1/2/2018 17:00,1196.3331
1/2/2018 18:00,1157.3018
1/2/2018 19:00,1113.3461
1/2/2018 20:00,1065.2584
1/2/2018 21:00,1022.6118
1/2/2018 22:00,950.8262
1/2/2018 23:00,882.0568
1/3/2018 0:00,832.1147
1/3/2018 1:00,803.1829
1/3/2018 2:00,781.1724
1/3/2018 3:00,771.5261
1/3/2018 4:00,787.0862
1/3/2018 5:00,841.7031
1/3/2018 6:00,972.6196
1/3/2018 7:00,1087.1481
1/3/2018 8:00,1190.6123
1/3/2018 9:00,1191.5388
1/3/2018 10:00,1211.9865
1/3/2018 11:00,1200.4059
1/3/2018 12:00,1217.021
1/3/2018 13:00,1229.8881
1/3/2018 14:00,1225.7487
1/3/2018 15:00,1256.3918
1/3/2018 16:00,1256.0419
1/3/2018 17:00,1255.0348
1/3/2018 18:00,1198.3329
1/3/2018 19:00,1174.7253
1/3/2018 20:00,1130.2677
1/3/2018 21:00,1070.8893
1/3/2018 22:00,962.6653
1/3/2018 23:00,904.5559
1/4/2018 0:00,855.0877
1/4/2018 1:00,834.3618
1/4/2018 2:00,806.5322
1/4/2018 3:00,806.2344
1/4/2018 4:00,823.0488
1/4/2018 5:00,870.8372
1/4/2018 6:00,1003.0993
1/4/2018 7:00,1127.1647
1/4/2018 8:00,1228.1259
1/4/2018 9:00,1237.9955
1/4/2018 10:00,1243.0597
1/4/2018 11:00,1236.2255
1/4/2018 12:00,1244.938
1/4/2018 13:00,1244.5338
1/4/2018 14:00,1244.679
1/4/2018 15:00,1287.7155
1/4/2018 16:00,1262.0929
1/4/2018 17:00,1251.8628
1/4/2018 18:00,1215.0245
1/4/2018 19:00,1168.1147
1/4/2018 20:00,1129.1808
1/4/2018 21:00,1066.0219
1/4/2018 22:00,965.8531
1/4/2018 23:00,910.737
1/5/2018 0:00,853.0757
1/5/2018 1:00,826.9216
1/5/2018 2:00,805.3104
1/5/2018 3:00,804.0648
1/5/2018 4:00,806.7249
1/5/2018 5:00,855.0991
